lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
obroczyć,obroczę,,obroczysz,,obroczy,,obroczymy,,obroczycie,,obroczą,,obroczyła,,obroczył,,obroczyły,,
obrodzić,obrodzę,,obrodzisz,,obrodzi,,obrodzimy,,obrodzicie,,obrodzą,,obrodziła,,obrodził,,obrodziły,,
obrokować,,obrokuję,,obrokujesz,,obrokuje,,obrokujemy,,obrokujecie,,obrokują,,obrokowała,,obrokował,,obrokowały,
obronić,obronię,,obronisz,,obroni,,obronimy,,obronicie,,obronią,,obroniła,,obronił,,obroniły,,
obrosnąć,obrosnę,,obrośniesz,,obrośnie,,obrośniemy,,obrośniecie,,obrosną,,obrosła,,,,obrosły,,
obrócić,obrócę,,obrócisz,,obróci,,obrócimy,,obrócicie,,obrócą,,obróciła,,obrócił,,obróciły,,
obrównać,obrównam,,obrównasz,,obrówna,,obrównamy,,obrównacie,,obrównają,,obrównała,,obrównał,,obrównały,,
obrównywać,,obrównywam,,obrównywasz,,obrównuje,,obrównywamy,,obrównujecie,,obrównują,,obrównywała,,obrównywał,,obrównywały,
obrudzać,,obrudzam,,obrudzasz,,obrudza,,obrudzamy,,obrudzacie,,obrudzają,,obrudzała,,obrudzał,,obrudzały,
obrudzić,obrudzę,,obrudzisz,,obrudzi,,obrudzimy,,obrudzicie,,obrudzą,,obrudziła,,obrudził,,obrudziły,,
obrugać,obrugam,,obrugasz,,obruga,,obrugamy,,obrugacie,,obrugają,,obrugała,,obrugał,,obrugały,,
